,below min,really below min,median hourly wage,average hourly wage,weight
A,0.4526643408650234,0.26651030793504205,33.11778290993072,33.57840492264627,34722.56601333599
B,0.17272345987778612,0.06391650611821598,46.454965357967666,60.25832297001203,432763.76171498495
D,0.02705639227675343,0.0,105.60046189376443,105.09611102128312,14561.672676091
E,0.18612806284587485,0.0,58.046189376443415,68.65787576839071,13094.644790658
F,0.3296309590233475,0.20107412530464341,37.584295612009235,40.925753507874106,211850.138938997
G,0.30532640570070096,0.13615839915126346,37.18966512702078,43.93926412737431,418358.156017358
H,0.2924172165777677,0.17688393655898413,40.65729974160207,45.08198173286344,153660.64503844
I,0.38438776419589005,0.08180088216076545,32.712663587374905,37.65966399811707,163426.38380054
J,0.0925579460585919,0.05424293155100884,83.39491916859123,95.12861303225489,204430.761119764
K,0.09068014187049722,0.045551611872342454,62.525829585511126,82.24229391184485,123819.738769432
L,0.26825012367633005,0.2458485186842877,43.443674621503725,63.59044910899009,29554.092788672002
M,0.3336135276904796,0.26505802576086995,46.56054107555262,58.2895620262468,295826.590637165
N,0.3097293539436048,0.0935803806637056,33.65665896843726,39.07332631400689,166664.422489168
O,0.4215767698491918,0.37719703026271373,38.58737490377213,45.08217705822434,401255.846824612
P,0.1685693282096284,0.06637486403221499,49.92494226327945,62.61738058789132,479612.946874336
Q,0.26598686291131723,0.11090699097743247,41.61662817551964,59.69584332178462,414180.07443428005
R,0.47716943331223405,0.3197487240162566,30.110854503464203,41.430758828527644,76343.189315817
S,0.4930510704435337,0.38450548487552927,29.878752886836025,32.31620543167504,99231.897397972
T,0.5661996451138221,0.07000602258845876,28.060046189376443,29.31739011288612,61316.24771116
U,0.0,0.0,70.62355658198615,100.23298276603778,889.21914672
X,0.18234251070817734,0.07641348873907935,50.86290153264749,68.84159025132683,113845.235622595
